movie_id,movie_name,director,star,genre
tt22939186,Sand and Stones,Benjamin Brewer,Nicolas Cage#Jaeden Martell#Maxwell Jenkins#Sadie Soverall,horror
tt9682428,Night Swim,Bryce McGuire,Kerry Condon#Wyatt Russell,horror
tt12856590,Halloween: Season of the Boogeyman,Michael White Jr.#Clint Shelton#Justin Ray Harvey#Cheyanne Alexander,,horror
tt5598542,Mephistopheles,Jerome Cloutier,,horror
tt12867298,The Witches of the Sands,Tony Mardon,Tony Mardon#Debra Lamb#Linnea Quigley#Dawna Lee Heising,horror
tt26671990,I Know Exactly How You Die,Alexandra Spieth,Rushabh Patel#Christopher Berghoff#Stephanie Hogan#Bobby Liga,horror
tt10698588,Ghoul,John Ward,Julie Anne Prescott#Maria Olsen#Ben Stobber#James Balsamo,horror
tt19115120,Amityville Leprechaun,Jack Hunter II,Jack Hunter II#Cody Tudor#Dustin Hubbard,horror
tt22488840,Into Pitch Black,Mark Schoonmaker,Garrett Hines,horror
tt10305256,Alone in the Night,Joe Hammerstone,Kaylee Williams#Joe Hammerstone#Casey Lee McIntosh#Cory Kays,horror
tt18569148,Amityville Poo: Killer Poop 2,Matthew Mark Hunter,Joe Filippone#Matthew Mark Hunter#Daniel Schoenau#Billy Culbertson,horror
tt15090554,Dual,Mark Schoonmaker,Johanna Watts#Steve Wilcox#Garrett Hines#Jamie Pasquinelli,horror
tt13179872,Alice,Chris Mitchell-Clare,Seth Collier#Teirah Green#Damien Blewett#Jeff Campbell,horror
tt13487430,The Moon Is a Hologram,Selene Kapsaski,Ciaron Davies#Rahel Kapsaski#Robyn Adams#Selene Kapsaski,horror
tt23750558,A Womanizer's Fate,Tez Dixon,Tuesday Knight#Tez Dixon#Maham Abid#Stephanie Falciano,horror
tt26426786,Half-Life: Ravenholm,Jonathon Glickman,Carl Dobson#Dan McGee#Wayne Reid,horror
tt14870982,Wicked Jack,Morgan Welborn,Sushii Xhyvette Holder#Steve Hansen,horror
tt16996464,Helen,Lionel Fernandez,Cheryl De Marco,horror
tt15294074,On a Night Like Tonight,,,horror
tt11542860,Time Traveler's,Simon Davidson#Rj Vervuurt#Benny Avemis,,horror
tt26658708,Sloan,Bob Garlen,,horror
tt26658102,Deinfluencer: Offline,Jamie Bailey,Simon Phillips,horror
tt26238738,Vamp Camp,Ryan Carlson,,horror
tt21607578,The Curse of Eddie Bishop,Mark Spayne,Laura Ellen Wilson#Mark Spayne#Rod Glenn#Carl Dobson,horror
tt3857078,Demon Party,Jerome Cloutier,Josh Bond,horror
tt19767938,Atrás De La Sombra,Alfonso Quijada,,horror
tt14391278,Teenagers Vs. The Wraith on Mount Keira,Brogan McMorrow,Aiden Mckenzie#Brogan McMorrow#British Flower#Cooper Mortlock,horror
tt26736843,The Watchers,Ishana Shyamalan,,horror
tt1197627,National Treasure 3,Ray Gaspard,,mystery
tt8080204,Hypnotic,Robert Rodriguez,Ben Affleck#William Fichtner#Alice Braga#Jeff Fahey,mystery
tt14364480,Knives Out 3,Rian Johnson,Daniel Craig,mystery
tt9664112,Detective Pikachu 2,,,mystery
tt12867298,The Witches of the Sands,Tony Mardon,Tony Mardon#Debra Lamb#Linnea Quigley#Dawna Lee Heising,mystery
tt7972570,Mr. K,Tallulah Hazekamp Schwab,,mystery
tt10826608,Redland,,,mystery
tt12421680,Angels,Robert Benjamin,Schelaine Bennett#Keenan Arrison#Sello Maake Ka-Ncube#Brendon Daniels,mystery
tt26426786,Half-Life: Ravenholm,Jonathon Glickman,Carl Dobson#Dan McGee#Wayne Reid,mystery
tt15294074,On a Night Like Tonight,,,mystery
tt18482838,In Unison,Jeff Lukeski,Jeff Lukeski#Paul Worley#Kristina Hollaway#Kenneth Davenport,mystery
tt22411280,Ubiquitär,Bernhard Ratka,Emily Schmeller,mystery
tt19767938,Atrás De La Sombra,Alfonso Quijada,,mystery
tt26702263,The Twelvemile,Brian Parks,Lilly Leann Wright,mystery
tt26736843,The Watchers,Ishana Shyamalan,,mystery
tt6208148,Snow White,Marc Webb,Gal Gadot#Rachel Zegler#Andrew Burnap#Luisa Guerreiro,romance
tt1262426,Wicked,Jon M. Chu,Michelle Yeoh#Jeff Goldblum#Jonathan Bailey#Cynthia Erivo,romance
tt9613354,The Hunchback of Notre Dame,,,romance
tt12759152,Untitled Dirty Dancing Project,Jonathan Levine,Jennifer Grey,romance
tt21879688,Heart Stopper,Alexsiya Flora,Alexis Baca#Sabrina Culver#Jackie Smith#Laura Mason,romance
tt24017338,Save Me,Pascal Payant,Cody John#Kiri Hartig#Robert Lewis Stephenson#Valerie La Rose,romance
tt10826586,Touch,Lauren Sesselmann,,romance
tt26442686,Night Desire,Erika Lust#Freya Joseph,Casey Calvert#Michael Vegas#Ava Max#Bishop Black,romance
tt23774544,The Borrowing,Jason M. Koch,Rolando Davila-Beltran,romance
tt10826352,Orbital One,,,romance
tt5043784,Diamond Rose,Thadd Turner,Joey Lawrence#Ryan Merriman#Andrew Lawrence#Thadd Turner,romance
tt19354890,Miss Beauty of Earth,Leonid Khromov,Joey Heyworth#Bubba Taylor#Rocío de la Grana#Nina Beni,romance
tt15352048,Reloaded 2,George Tounas,Lili Rich#George Tounas#Joanna Kalafatis#Taj Khan,romance
tt12794380,Untouchable,Quasheem D. Herring,Tyeasha VanBuren#Zari Rice#Adara Leigh#Oceania Anderson,romance
tt13036100,Broken Glass,Neil Mikes#Hazel K.,Gwyneth Irene#Garry Naville#Asa Obed#Chronox,romance
